[DBG-MEM]: n allocs: 704, alloc size: 8698, non used memory by user: 411024, non used memory by user percetnage: 0.590003, elapsed time: 0.000000, freeded chunks percentage: 21.016166, non freeded chunks percetnage: 78.983834
[DBG-MEM]: n allocs: 990, alloc size: 11807, non used memory by user: 692248, non used memory by user percetnage: 0.968903, elapsed time: 0.004000, freeded chunks percentage: 16.053512, non freeded chunks percetnage: 83.946488
[DBG-MEM]: n allocs: 873, alloc size: 10138, non used memory by user: 577456, non used memory by user percetnage: 0.820847, elapsed time: 0.004000, freeded chunks percentage: 18.945312, non freeded chunks percetnage: 81.054688
[DBG-MEM]: n allocs: 864, alloc size: 7467, non used memory by user: 470576, non used memory by user percetnage: 0.674297, elapsed time: 0.004000, freeded chunks percentage: 20.985401, non freeded chunks percetnage: 79.014599
[DBG-MEM]: n allocs: 895, alloc size: 13348, non used memory by user: 654848, non used memory by user percetnage: 0.917188, elapsed time: 0.004001, freeded chunks percentage: 13.529412, non freeded chunks percetnage: 86.470588
[DBG-MEM]: n allocs: 1037, alloc size: 10981, non used memory by user: 740104, non used memory by user percetnage: 1.038505, elapsed time: 0.004002, freeded chunks percentage: 17.886179, non freeded chunks percetnage: 82.113821
[DBG-MEM]: n allocs: 595, alloc size: 10224, non used memory by user: 447824, non used memory by user percetnage: 0.641507, elapsed time: 0.000000, freeded chunks percentage: 15.109890, non freeded chunks percetnage: 84.890110
[DBG-MEM]: n allocs: 1051, alloc size: 8540, non used memory by user: 552864, non used memory by user percetnage: 0.784382, elapsed time: 0.000000, freeded chunks percentage: 23.458647, non freeded chunks percetnage: 76.541353
[DBG-MEM]: n allocs: 871, alloc size: 7964, non used memory by user: 467080, non used memory by user percetnage: 0.667759, elapsed time: 0.000000, freeded chunks percentage: 17.981651, non freeded chunks percetnage: 82.018349
[DBG-MEM]: n allocs: 700, alloc size: 10849, non used memory by user: 544216, non used memory by user percetnage: 0.774002, elapsed time: 0.003999, freeded chunks percentage: 15.102975, non freeded chunks percetnage: 84.897025
[DBG-MEM]: n allocs: 890, alloc size: 8186, non used memory by user: 499424, non used memory by user percetnage: 0.713247, elapsed time: 0.004001, freeded chunks percentage: 20.185185, non freeded chunks percetnage: 79.814815
